# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t rpon1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n rponvsvmacs2e30 -p 1e-30
# ARGUMENTS LIST:
# name = rponvsvmacs2e30
# format = BAM
# ChIP-seq file = ['rpon1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-30
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 2863080
# tags after filtering in treatment: 1806050
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.37
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	663199	663448	250	663323	293.00	105.01427	4.92236	101.99285	rponvsvmacs2e30_peak_44
NC_002516.2	684137	684372	236	684266	271.00	106.26472	5.39135	103.20296	rponvsvmacs2e30_peak_45
NC_002516.2	692559	692732	174	692629	236.00	82.32795	4.75421	79.82514	rponvsvmacs2e30_peak_46
NC_002516.2	696787	696956	170	696870	246.00	77.64200	4.32893	75.21682	rponvsvmacs2e30_peak_47
NC_002516.2	711467	711655	189	711579	229.00	79.16487	4.70641	76.71513	rponvsvmacs2e30_peak_48
NC_002516.2	719692	719961	270	719845	201.00	59.44995	4.05211	57.29509	rponvsvmacs2e30_peak_49
NC_002516.2	720733	720916	184	720832	230.00	77.81681	4.60978	75.38948	rponvsvmacs2e30_peak_50
NC_002516.2	736421	736640	220	736534	293.00	109.79962	5.15265	106.63601	rponvsvmacs2e30_peak_51
NC_002516.2	740095	740356	262	740255	249.00	97.91459	5.39022	95.09397	rponvsvmacs2e30_peak_52
NC_002516.2	772654	772811	158	772764	178.00	54.14613	4.13115	52.06203	rponvsvmacs2e30_peak_53
NC_002516.2	802143	802325	183	802225	241.00	74.43678	4.24129	72.06872	rponvsvmacs2e30_peak_54
NC_002516.2	830402	830600	199	830502	284.00	93.37168	4.51920	90.65582	rponvsvmacs2e30_peak_55
NC_002516.2	874658	874868	211	874765	284.00	125.91090	6.20286	122.09629	rponvsvmacs2e30_peak_56
NC_002516.2	906936	907116	181	907013	225.00	81.89752	4.95112	79.40063	rponvsvmacs2e30_peak_57
NC_002516.2	919282	919431	150	919364	212.00	75.00532	4.79965	72.62681	rponvsvmacs2e30_peak_58
NC_002516.2	971779	972008	230	971887	249.00	97.88190	5.38828	95.06169	rponvsvmacs2e30_peak_59
NC_002516.2	993944	994098	155	994010	220.00	67.80807	4.21864	65.54295	rponvsvmacs2e30_peak_60
NC_002516.2	1006851	1007347	497	1007200	290.00	117.98346	5.62654	114.55783	rponvsvmacs2e30_peak_61
NC_002516.2	1018951	1019235	285	1019066	281.00	115.27295	5.67209	111.94264	rponvsvmacs2e30_peak_62
NC_002516.2	1022145	1022400	256	1022274	293.00	130.58644	6.24898	126.45608	rponvsvmacs2e30_peak_63
NC_002516.2	1029774	1030009	236	1029910	244.00	100.31176	5.65437	97.42715	rponvsvmacs2e30_peak_64
NC_002516.2	1038880	1039096	217	1038980	263.00	89.94657	4.68162	87.29619	rponvsvmacs2e30_peak_65
NC_002516.2	1128954	1129239	286	1129024	251.00	73.24154	4.03866	70.89378	rponvsvmacs2e30_peak_66
NC_002516.2	1137374	1137566	193	1137492	208.00	68.44713	4.47084	66.17178	rponvsvmacs2e30_peak_67
NC_002516.2	1163209	1163409	201	1163310	265.00	91.30868	4.71709	88.63036	rponvsvmacs2e30_peak_68
NC_002516.2	1164155	1164402	248	1164273	251.00	104.23973	5.72538	101.24012	rponvsvmacs2e30_peak_69
NC_002516.2	1167413	1167747	335	1167624	284.00	123.39136	6.05768	119.72961	rponvsvmacs2e30_peak_70
NC_002516.2	1168098	1168335	238	1168219	258.00	105.14423	5.61253	102.11820	rponvsvmacs2e30_peak_71
NC_002516.2	1173076	1173280	205	1173159	251.00	95.98301	5.23377	93.20815	rponvsvmacs2e30_peak_72
NC_002516.2	1183080	1183274	195	1183186	255.00	75.71384	4.10277	73.32277	rponvsvmacs2e30_peak_73
NC_002516.2	1184892	1185117	226	1184987	238.00	85.07581	4.87260	82.52385	rponvsvmacs2e30_peak_74
NC_002516.2	1188065	1188221	157	1188149	236.00	74.15470	4.30471	71.79005	rponvsvmacs2e30_peak_75
NC_002516.2	1189068	1189279	212	1189193	236.00	68.52904	4.01286	66.25031	rponvsvmacs2e30_peak_76
NC_002516.2	1189605	1189896	292	1189725	207.00	63.38697	4.18367	61.18185	rponvsvmacs2e30_peak_77
NC_002516.2	1191901	1192106	206	1191994	277.00	123.59135	6.24367	119.91603	rponvsvmacs2e30_peak_78
NC_002516.2	1208461	1208636	176	1208550	261.00	102.89822	5.41519	99.94006	rponvsvmacs2e30_peak_79
NC_002516.2	1216933	1217209	277	1217032	270.00	99.40151	5.04456	96.54044	rponvsvmacs2e30_peak_80
NC_002516.2	1220077	1220246	170	1220174	219.00	81.39803	5.05236	78.91101	rponvsvmacs2e30_peak_81
NC_002516.2	1225321	1225494	174	1225404	234.00	88.20213	5.14077	85.58778	rponvsvmacs2e30_peak_82
NC_002516.2	1248051	1248222	172	1248133	246.00	95.69545	5.32553	92.92973	rponvsvmacs2e30_peak_83
NC_002516.2	1289687	1289842	156	1289774	197.00	66.50175	4.56966	64.25386	rponvsvmacs2e30_peak_84
NC_002516.2	1290084	1290287	204	1290173	260.00	99.58330	5.24970	96.71666	rponvsvmacs2e30_peak_85
NC_002516.2	1361170	1361345	176	1361257	252.00	96.27101	5.22917	93.49058	rponvsvmacs2e30_peak_86
NC_002516.2	1368989	1369315	327	1369234	199.00	67.84951	4.61581	65.58165	rponvsvmacs2e30_peak_87
NC_002516.2	1399674	1399873	200	1399758	239.00	92.15246	5.26938	89.45805	rponvsvmacs2e30_peak_88
NC_002516.2	1414466	1414620	155	1414543	225.00	77.24118	4.67112	74.82518	rponvsvmacs2e30_peak_89
NC_002516.2	1424424	1424611	188	1424516	244.00	100.31176	5.65437	97.42715	rponvsvmacs2e30_peak_90
NC_002516.2	1437509	1437695	187	1437610	231.00	79.13260	4.66640	76.68340	rponvsvmacs2e30_peak_91
NC_002516.2	1544926	1545187	262	1545079	299.00	118.02301	5.44900	114.59441	rponvsvmacs2e30_peak_92
NC_002516.2	1551418	1551643	226	1551518	298.00	137.87762	6.54081	133.31007	rponvsvmacs2e30_peak_93
NC_002516.2	1570314	1570589	276	1570449	299.00	109.24424	5.02281	106.09572	rponvsvmacs2e30_peak_94
NC_002516.2	1571866	1572127	262	1571978	285.00	131.60715	6.51415	127.39573	rponvsvmacs2e30_peak_95
NC_002516.2	1579931	1580374	444	1580252	264.00	105.84668	5.51754	102.79791	rponvsvmacs2e30_peak_96
NC_002516.2	1581986	1582325	340	1582156	300.00	105.29800	4.82396	102.26753	rponvsvmacs2e30_peak_97
NC_002516.2	1592005	1592237	233	1592126	294.00	121.03442	5.70388	117.49857	rponvsvmacs2e30_peak_98
NC_002516.2	1595297	1595533	237	1595412	287.00	134.69916	6.64677	130.28069	rponvsvmacs2e30_peak_99
NC_002516.2	1615612	1615772	161	1615704	249.00	104.15256	5.76977	101.15523	rponvsvmacs2e30_peak_100
NC_002516.2	1618408	1618636	229	1618518	261.00	113.54544	6.04672	110.27244	rponvsvmacs2e30_peak_101
NC_002516.2	1625358	1625553	196	1625453	235.00	81.86435	4.74686	79.36776	rponvsvmacs2e30_peak_102
NC_002516.2	1638110	1638275	166	1638204	227.00	87.58878	5.26203	84.98522	rponvsvmacs2e30_peak_103
NC_002516.2	1649592	1649760	169	1649688	228.00	88.32240	5.28511	85.70401	rponvsvmacs2e30_peak_104
NC_002516.2	1666404	1666678	275	1666496	199.00	60.23485	4.13373	58.07050	rponvsvmacs2e30_peak_105
NC_002516.2	1667854	1668137	284	1667982	299.00	144.81110	6.92372	138.01421	rponvsvmacs2e30_peak_106
NC_002516.2	1710273	1710476	204	1710389	263.00	113.29933	5.98034	110.03457	rponvsvmacs2e30_peak_107
NC_002516.2	1713625	1713788	164	1713714	238.00	85.07581	4.87260	82.52385	rponvsvmacs2e30_peak_108
NC_002516.2	1730289	1730450	162	1730374	239.00	96.51510	5.53898	93.72669	rponvsvmacs2e30_peak_109
NC_002516.2	1746541	1746707	167	1746609	222.00	83.94929	5.14663	81.41624	rponvsvmacs2e30_peak_110
NC_002516.2	1754395	1754554	160	1754466	233.00	92.01867	5.40050	89.32679	rponvsvmacs2e30_peak_111
NC_002516.2	1755372	1755523	152	1755441	213.00	76.85177	4.89580	74.44035	rponvsvmacs2e30_peak_112
NC_002516.2	1790889	1791082	194	1790980	219.00	81.78879	5.07740	79.29353	rponvsvmacs2e30_peak_113
NC_002516.2	1802874	1803033	160	1802964	217.00	80.35827	5.03124	77.88854	rponvsvmacs2e30_peak_114
NC_002516.2	1872471	1872691	221	1872574	287.00	114.36444	5.49759	111.06944	rponvsvmacs2e30_peak_115
NC_002516.2	1888639	1888839	201	1888745	278.00	121.64959	6.10330	118.08520	rponvsvmacs2e30_peak_116
NC_002516.2	1889656	1889834	179	1889747	253.00	105.00955	5.72352	101.98857	rponvsvmacs2e30_peak_117
NC_002516.2	1891818	1891980	163	1891898	214.00	78.22738	4.96200	75.79250	rponvsvmacs2e30_peak_118
NC_002516.2	1928645	1928920	276	1928773	294.00	131.39333	6.27023	127.19633	rponvsvmacs2e30_peak_119
NC_002516.2	1931848	1932071	224	1931966	293.00	139.72861	6.78525	135.00728	rponvsvmacs2e30_peak_120
NC_002516.2	1934810	1935072	263	1934939	299.00	144.81110	6.92372	138.01421	rponvsvmacs2e30_peak_121
NC_002516.2	1941861	1942130	270	1941977	292.00	125.23137	5.97353	121.45444	rponvsvmacs2e30_peak_122
NC_002516.2	1945258	1945513	256	1945375	275.00	124.80379	6.36982	121.05379	rponvsvmacs2e30_peak_123
NC_002516.2	1962203	1962433	231	1962315	286.00	112.29587	5.40959	109.06176	rponvsvmacs2e30_peak_124
NC_002516.2	1993613	1993797	185	1993703	241.00	98.02840	5.58514	95.19981	rponvsvmacs2e30_peak_125
NC_002516.2	2059892	2060088	197	2059980	254.00	108.03664	5.88516	104.91910	rponvsvmacs2e30_peak_126
NC_002516.2	2077075	2077273	199	2077177	281.00	129.72385	6.50830	125.64877	rponvsvmacs2e30_peak_127
NC_002516.2	2082690	2082914	225	2082794	278.00	114.37165	5.68810	111.07473	rponvsvmacs2e30_peak_128
NC_002516.2	2109051	2109220	170	2109138	240.00	97.27085	5.56206	94.46338	rponvsvmacs2e30_peak_129
NC_002516.2	2115483	2115673	191	2115574	266.00	117.52998	6.16211	114.12154	rponvsvmacs2e30_peak_130
NC_002516.2	2132342	2132560	219	2132459	297.00	126.21214	5.91452	122.37858	rponvsvmacs2e30_peak_131
NC_002516.2	2136548	2136721	174	2136623	226.00	86.85705	5.23895	84.26775	rponvsvmacs2e30_peak_132
NC_002516.2	2141395	2141878	484	2141538	297.00	143.11110	6.87756	137.79134	rponvsvmacs2e30_peak_133
NC_002516.2	2150254	2150511	258	2150374	277.00	126.43759	6.41598	122.57436	rponvsvmacs2e30_peak_134
NC_002516.2	2178191	2178353	163	2178282	231.00	83.65743	4.93117	81.13126	rponvsvmacs2e30_peak_135
NC_002516.2	2183422	2183723	302	2183571	295.00	130.79558	6.21218	126.64803	rponvsvmacs2e30_peak_136
NC_002516.2	2208683	2208873	191	2208793	247.00	102.61100	5.72361	99.66052	rponvsvmacs2e30_peak_137
NC_002516.2	2233957	2234110	154	2234036	197.00	66.50175	4.56966	64.25386	rponvsvmacs2e30_peak_138
NC_002516.2	2240403	2240643	241	2240484	221.00	83.22717	5.12355	80.70726	rponvsvmacs2e30_peak_139
NC_002516.2	2241724	2241878	155	2241798	225.00	86.12723	5.21587	83.55312	rponvsvmacs2e30_peak_140
NC_002516.2	2264238	2264404	167	2264316	224.00	85.39933	5.19279	82.83921	rponvsvmacs2e30_peak_141
NC_002516.2	2272824	2273002	179	2272919	241.00	98.02840	5.58514	95.19981	rponvsvmacs2e30_peak_142
NC_002516.2	2315342	2315526	185	2315436	217.00	80.35827	5.03124	77.88854	rponvsvmacs2e30_peak_143
NC_002516.2	2326198	2326395	198	2326290	274.00	117.42303	5.95408	114.02444	rponvsvmacs2e30_peak_144
NC_002516.2	2352521	2352715	195	2352606	234.00	92.76350	5.42358	90.05766	rponvsvmacs2e30_peak_145
NC_002516.2	2366339	2366522	184	2366436	261.00	113.54544	6.04672	110.27244	rponvsvmacs2e30_peak_146
NC_002516.2	2497538	2497724	187	2497627	276.00	124.70529	6.33709	120.97734	rponvsvmacs2e30_peak_147
NC_002516.2	2517181	2517353	173	2517258	242.00	98.78774	5.60821	95.94098	rponvsvmacs2e30_peak_148
NC_002516.2	2519774	2519964	191	2519872	238.00	95.76114	5.51590	92.99051	rponvsvmacs2e30_peak_149
NC_002516.2	2539235	2539385	151	2539309	233.00	80.49478	4.70663	78.02300	rponvsvmacs2e30_peak_150
NC_002516.2	2564151	2564332	182	2564234	266.00	117.52998	6.16211	114.12154	rponvsvmacs2e30_peak_151
NC_002516.2	2568216	2568384	169	2568315	222.00	83.94929	5.14663	81.41624	rponvsvmacs2e30_peak_152
NC_002516.2	2591863	2592013	151	2591935	192.00	63.17071	4.45426	60.96729	rponvsvmacs2e30_peak_153
NC_002516.2	2600629	2600834	206	2600727	249.00	95.34415	5.23944	92.58577	rponvsvmacs2e30_peak_154
NC_002516.2	2601558	2601745	188	2601648	257.00	110.38750	5.95440	107.20678	rponvsvmacs2e30_peak_155
NC_002516.2	2605186	2605433	248	2605319	281.00	129.72385	6.50830	125.64877	rponvsvmacs2e30_peak_156
NC_002516.2	2634742	2634919	178	2634855	209.00	74.71623	4.84661	72.34209	rponvsvmacs2e30_peak_157
NC_002516.2	2685132	2685301	170	2685187	190.00	61.85388	4.40810	59.66720	rponvsvmacs2e30_peak_158
NC_002516.2	2697418	2697576	159	2697500	212.00	76.81682	4.91584	74.40610	rponvsvmacs2e30_peak_159
NC_002516.2	2721409	2721601	193	2721509	255.00	108.81857	5.90824	105.67932	rponvsvmacs2e30_peak_160
NC_002516.2	2724884	2725134	251	2725010	292.00	129.78104	6.22772	125.70265	rponvsvmacs2e30_peak_161
NC_002516.2	2746976	2747232	257	2747111	277.00	116.43143	5.82626	113.06720	rponvsvmacs2e30_peak_162
NC_002516.2	2758084	2758254	171	2758172	255.00	81.48171	4.38411	78.99352	rponvsvmacs2e30_peak_163
NC_002516.2	2763213	2763367	155	2763290	231.00	90.53456	5.35434	87.87109	rponvsvmacs2e30_peak_164
NC_002516.2	2831887	2832060	174	2831979	239.00	96.51510	5.53898	93.72669	rponvsvmacs2e30_peak_165
NC_002516.2	2854643	2854839	197	2854736	243.00	99.54886	5.63129	96.68298	rponvsvmacs2e30_peak_166
NC_002516.2	2862302	2862491	190	2862400	244.00	92.95980	5.20748	90.25088	rponvsvmacs2e30_peak_167
NC_002516.2	2865553	2865737	185	2865640	232.00	91.27568	5.37742	88.59839	rponvsvmacs2e30_peak_168
NC_002516.2	2883435	2883627	193	2883535	262.00	104.70642	5.49651	101.69700	rponvsvmacs2e30_peak_169
NC_002516.2	2887895	2888070	176	2887983	273.00	109.21329	5.51118	106.06535	rponvsvmacs2e30_peak_170
NC_002516.2	2895107	2895265	159	2895182	234.00	90.71842	5.29539	88.05255	rponvsvmacs2e30_peak_171
NC_002516.2	2936251	2936434	184	2936352	276.00	124.62578	6.33226	120.90298	rponvsvmacs2e30_peak_172
NC_002516.2	2938433	2938587	155	2938492	167.00	47.38520	3.87728	45.38708	rponvsvmacs2e30_peak_173
NC_002516.2	3003233	3003446	214	3003342	279.00	97.57084	4.79511	94.75650	rponvsvmacs2e30_peak_174
NC_002516.2	3004228	3004401	174	3004303	236.00	94.25867	5.46974	91.52177	rponvsvmacs2e30_peak_175
NC_002516.2	3006731	3006919	189	3006826	279.00	116.19433	5.76734	112.83710	rponvsvmacs2e30_peak_176
NC_002516.2	3022148	3022323	176	3022217	206.00	72.63415	4.77737	70.29444	rponvsvmacs2e30_peak_177
NC_002516.2	3051950	3052129	180	3052042	224.00	85.39933	5.19279	82.83921	rponvsvmacs2e30_peak_178
NC_002516.2	3057414	3057660	247	3057539	287.00	122.77964	5.95258	119.15273	rponvsvmacs2e30_peak_179
NC_002516.2	3058840	3059105	266	3058975	297.00	98.87634	4.57994	96.02753	rponvsvmacs2e30_peak_180
NC_002516.2	3105006	3105211	206	3105127	261.00	108.27188	5.72724	105.14876	rponvsvmacs2e30_peak_181
NC_002516.2	3150060	3150237	178	3150154	212.00	76.09356	4.86921	73.69737	rponvsvmacs2e30_peak_182
NC_002516.2	3169363	3169593	231	3169484	279.00	96.45355	4.74093	93.66985	rponvsvmacs2e30_peak_183
NC_002516.2	3214037	3214319	283	3214176	295.00	141.41693	6.83141	136.39821	rponvsvmacs2e30_peak_184
NC_002516.2	3258048	3258213	166	3258134	241.00	98.02840	5.58514	95.19981	rponvsvmacs2e30_peak_185
NC_002516.2	3271765	3271932	168	3271846	209.00	70.74887	4.59388	68.43872	rponvsvmacs2e30_peak_186
NC_002516.2	3276774	3276956	183	3276864	260.00	103.47453	5.46997	100.49930	rponvsvmacs2e30_peak_187
NC_002516.2	3298400	3298587	188	3298491	224.00	85.39933	5.19279	82.83921	rponvsvmacs2e30_peak_188
NC_002516.2	3315622	3315834	213	3315735	277.00	112.23067	5.59164	108.99834	rponvsvmacs2e30_peak_189
NC_002516.2	3356103	3356254	152	3356172	212.00	76.81682	4.91584	74.40610	rponvsvmacs2e30_peak_190
NC_002516.2	3357484	3357661	178	3357577	210.00	75.41438	4.86968	73.02757	rponvsvmacs2e30_peak_191
NC_002516.2	3367685	3367863	179	3367783	213.00	77.52109	4.93892	75.09793	rponvsvmacs2e30_peak_192
NC_002516.2	3378081	3378269	189	3378175	257.00	101.23690	5.40710	98.32747	rponvsvmacs2e30_peak_193
NC_002516.2	3400408	3400650	243	3400526	277.00	126.43759	6.41598	122.57436	rponvsvmacs2e30_peak_194
NC_002516.2	3403504	3403718	215	3403603	280.00	118.76545	5.88913	115.31217	rponvsvmacs2e30_peak_195
NC_002516.2	3407839	3408142	304	3408028	296.00	126.89749	5.97380	123.01601	rponvsvmacs2e30_peak_196
NC_002516.2	3419969	3420134	166	3420041	224.00	85.39933	5.19279	82.83921	rponvsvmacs2e30_peak_197
NC_002516.2	3459955	3460145	191	3460036	251.00	105.70105	5.81593	102.65575	rponvsvmacs2e30_peak_198
NC_002516.2	3471916	3472102	187	3472012	264.00	115.93126	6.11595	112.58170	rponvsvmacs2e30_peak_199
NC_002516.2	3487817	3488024	208	3487925	254.00	97.41478	5.25240	94.60396	rponvsvmacs2e30_peak_200
NC_002516.2	3499357	3499530	174	3499437	229.00	74.61971	4.44709	72.24947	rponvsvmacs2e30_peak_201
NC_002516.2	3567511	3567667	157	3567575	226.00	86.85705	5.23895	84.26775	rponvsvmacs2e30_peak_202
NC_002516.2	3600747	3600914	168	3600824	254.00	91.40414	4.91778	88.72506	rponvsvmacs2e30_peak_203
NC_002516.2	3636404	3636650	247	3636537	262.00	107.70853	5.67051	104.60300	rponvsvmacs2e30_peak_204
NC_002516.2	3647248	3647407	160	3647331	249.00	83.73007	4.59655	81.20245	rponvsvmacs2e30_peak_205
NC_002516.2	3652551	3652704	154	3652613	209.00	65.62513	4.28137	63.39035	rponvsvmacs2e30_peak_206
NC_002516.2	3665543	3665696	154	3665614	222.00	82.03163	5.02498	79.53304	rponvsvmacs2e30_peak_207
NC_002516.2	3669733	3669936	204	3669835	248.00	79.94313	4.41562	77.48046	rponvsvmacs2e30_peak_208
NC_002516.2	3673352	3673712	361	3673649	237.00	67.36954	3.94073	65.10909	rponvsvmacs2e30_peak_209
NC_002516.2	3680436	3680624	189	3680533	293.00	124.54580	5.91346	120.82447	rponvsvmacs2e30_peak_210
NC_002516.2	3691342	3691510	169	3691429	228.00	87.34205	5.22302	84.74515	rponvsvmacs2e30_peak_211
NC_002516.2	3698918	3699088	171	3699009	214.00	78.22738	4.96200	75.79250	rponvsvmacs2e30_peak_212
NC_002516.2	3720374	3720562	189	3720475	246.00	101.84283	5.70053	98.91618	rponvsvmacs2e30_peak_213
NC_002516.2	3759380	3759534	155	3759443	246.00	82.78340	4.59781	80.27223	rponvsvmacs2e30_peak_214
NC_002516.2	3772715	3772932	218	3772821	287.00	98.60360	4.71650	95.76284	rponvsvmacs2e30_peak_215
NC_002516.2	3808713	3808960	248	3808848	299.00	126.31813	5.87638	122.48219	rponvsvmacs2e30_peak_216
NC_002516.2	3810382	3810538	157	3810463	216.00	79.64598	5.00816	77.18690	rponvsvmacs2e30_peak_217
NC_002516.2	3818550	3818713	164	3818627	209.00	74.71623	4.84661	72.34209	rponvsvmacs2e30_peak_218
NC_002516.2	3828047	3828235	189	3828119	235.00	79.67067	4.62275	77.21111	rponvsvmacs2e30_peak_219
NC_002516.2	3844195	3844418	224	3844315	291.00	125.93090	6.03525	122.10807	rponvsvmacs2e30_peak_220
NC_002516.2	3846790	3847065	276	3846906	287.00	125.77623	6.12145	121.96601	rponvsvmacs2e30_peak_221
NC_002516.2	3868034	3868238	205	3868135	261.00	105.57247	5.56882	102.53382	rponvsvmacs2e30_peak_222
NC_002516.2	3870628	3870838	211	3870737	271.00	120.11666	6.18963	116.61578	rponvsvmacs2e30_peak_223
NC_002516.2	3903542	3903754	213	3903642	248.00	103.38091	5.74669	100.40842	rponvsvmacs2e30_peak_224
NC_002516.2	3904786	3904965	180	3904868	248.00	80.96557	4.46851	78.48730	rponvsvmacs2e30_peak_225
