# This file is generated by MACS version 2.0.10.20130915 (tag:beta)
# Command line: callpeak -t vfr1vsv/accepted_hits.bam -c ck1vsv/accepted_hits.bam -f BAM -g 6400000 --nomodel --shiftsize=75 -n vfrvsvmacs2 -p 1e-5
# ARGUMENTS LIST:
# name = vfrvsvmacs2
# format = BAM
# ChIP-seq file = ['vfr1vsv/accepted_hits.bam']
# control file = ['ck1vsv/accepted_hits.bam']
# effective genome size = 6.40e+06
# band width = 300
# model fold = [5, 50]
# pvalue cutoff = 1.00e-05
# qvalue will not be calculated and reported as -1 in the final output.
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 52 bps
# total tags in treatment: 3829539
# tags after filtering in treatment: 3064186
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.20
# total tags in control: 3270839
# tags after filtering in control: 2706270
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.17
# d = 150
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
NC_002516.2	795485	795709	225	795601	219.03	35.00412	2.61943	31.68248	vfrvsvmacs2_peak_29
NC_002516.2	798413	798563	151	798502	125.41	8.60100	1.75574	6.27819	vfrvsvmacs2_peak_30
NC_002516.2	811685	811847	163	811777	148.38	13.93271	1.99302	11.35675	vfrvsvmacs2_peak_31
NC_002516.2	894578	894739	162	894652	128.06	7.10047	1.63371	4.88651	vfrvsvmacs2_peak_32
NC_002516.2	895672	895997	326	895815	233.16	57.10271	3.49497	52.92597	vfrvsvmacs2_peak_33
NC_002516.2	931890	932087	198	931987	192.54	35.32589	2.84654	31.98870	vfrvsvmacs2_peak_34
NC_002516.2	934696	934877	182	934791	147.49	13.60370	1.97991	11.04050	vfrvsvmacs2_peak_35
NC_002516.2	938522	938726	205	938622	184.59	29.46842	2.61391	26.32417	vfrvsvmacs2_peak_36
NC_002516.2	941387	941619	233	941497	186.35	27.46505	2.49473	24.38733	vfrvsvmacs2_peak_37
NC_002516.2	971391	971554	164	971468	162.51	10.80623	1.75815	8.36234	vfrvsvmacs2_peak_38
NC_002516.2	1032924	1033141	218	1033005	145.73	8.00310	1.64862	5.72188	vfrvsvmacs2_peak_39
NC_002516.2	1037427	1037605	179	1037538	154.56	20.42498	2.34223	17.60596	vfrvsvmacs2_peak_40
NC_002516.2	1039657	1039820	164	1039735	158.97	23.09239	2.47467	20.17219	vfrvsvmacs2_peak_41
NC_002516.2	1056235	1056479	245	1056366	187.24	21.35701	2.18880	18.50114	vfrvsvmacs2_peak_42
NC_002516.2	1081166	1081479	314	1081359	224.33	41.07051	2.85229	37.56433	vfrvsvmacs2_peak_43
NC_002516.2	1105089	1105306	218	1105182	160.74	24.04465	2.51041	21.08744	vfrvsvmacs2_peak_44
NC_002516.2	1124009	1124159	151	1124087	149.26	19.72590	2.33220	16.93145	vfrvsvmacs2_peak_45
NC_002516.2	1126552	1126803	252	1126680	238.46	50.49924	3.15082	46.69003	vfrvsvmacs2_peak_46
NC_002516.2	1137079	1137240	162	1137129	148.38	13.91041	1.99169	11.33507	vfrvsvmacs2_peak_47
NC_002516.2	1172760	1172990	231	1172866	140.43	7.75516	1.64451	5.49092	vfrvsvmacs2_peak_48
NC_002516.2	1218724	1218897	174	1218827	163.39	16.33440	2.05489	13.66527	vfrvsvmacs2_peak_49
NC_002516.2	1231399	1231624	226	1231521	187.24	34.93972	2.86728	31.62155	vfrvsvmacs2_peak_50
NC_002516.2	1283311	1283505	195	1283412	158.97	23.23482	2.48299	20.30476	vfrvsvmacs2_peak_51
NC_002516.2	1357768	1357952	185	1357863	218.15	18.57154	1.93937	15.81951	vfrvsvmacs2_peak_52
NC_002516.2	1417845	1418621	777	1418458	257.89	71.09579	3.87535	64.29891	vfrvsvmacs2_peak_53
NC_002516.2	1557718	1557882	165	1557807	158.97	20.95687	2.35084	18.11486	vfrvsvmacs2_peak_54
NC_002516.2	1563348	1563517	170	1563440	158.97	21.37467	2.37492	18.51841	vfrvsvmacs2_peak_55
NC_002516.2	1572239	1572484	246	1572377	212.85	47.58972	3.27313	43.90582	vfrvsvmacs2_peak_56
NC_002516.2	1581032	1581182	151	1581099	152.79	16.12812	2.10675	13.46535	vfrvsvmacs2_peak_57
NC_002516.2	1678487	1678729	243	1678608	223.45	54.43970	3.48369	50.38318	vfrvsvmacs2_peak_58
NC_002516.2	1786734	1786927	194	1786835	158.97	23.23482	2.48299	20.30476	vfrvsvmacs2_peak_59
NC_002516.2	1921659	1921854	196	1921778	141.31	7.98229	1.65478	5.70184	vfrvsvmacs2_peak_60
NC_002516.2	1922547	1922817	271	1922680	157.21	22.83394	2.45558	19.92191	vfrvsvmacs2_peak_61
NC_002516.2	1930029	1930230	202	1930135	155.44	22.04033	2.42816	19.15896	vfrvsvmacs2_peak_62
NC_002516.2	1944963	1945199	237	1945098	164.27	23.30639	2.43050	20.37450	vfrvsvmacs2_peak_63
NC_002516.2	2031204	2031386	183	2031293	166.92	26.53753	2.60637	23.48721	vfrvsvmacs2_peak_64
NC_002516.2	2032334	2032598	265	2032477	237.58	62.32036	3.70302	57.89083	vfrvsvmacs2_peak_65
NC_002516.2	2441818	2441994	177	2441889	144.84	17.87543	2.26366	15.14544	vfrvsvmacs2_peak_66
NC_002516.2	2468315	2468465	151	2468391	129.83	11.63230	1.95268	9.15040	vfrvsvmacs2_peak_67
NC_002516.2	2494712	2494899	188	2494810	166.04	26.13261	2.56985	23.09682	vfrvsvmacs2_peak_68
NC_002516.2	2598331	2598533	203	2598448	171.34	28.68573	2.67491	25.56509	vfrvsvmacs2_peak_69
NC_002516.2	2732945	2733197	253	2733088	229.63	47.86446	3.11663	44.17479	vfrvsvmacs2_peak_70
NC_002516.2	2754436	2754642	207	2754527	188.12	36.44643	2.93536	33.07606	vfrvsvmacs2_peak_71
NC_002516.2	2758066	2758282	217	2758203	161.62	15.24204	2.00771	12.61389	vfrvsvmacs2_peak_72
NC_002516.2	2764981	2765136	156	2765073	151.03	20.48617	2.35962	17.66131	vfrvsvmacs2_peak_73
NC_002516.2	2894796	2894950	155	2894872	122.76	10.64270	1.92096	8.20524	vfrvsvmacs2_peak_74
NC_002516.2	2947938	2948133	196	2948015	193.42	36.61662	2.90178	33.24249	vfrvsvmacs2_peak_75
NC_002516.2	3001178	3001336	159	3001270	136.90	15.06880	2.14029	12.44613	vfrvsvmacs2_peak_76
NC_002516.2	3128751	3128916	166	3128842	142.19	14.31600	2.04563	11.72554	vfrvsvmacs2_peak_77
NC_002516.2	3138704	3139013	310	3138865	261.43	68.26891	3.69613	63.35284	vfrvsvmacs2_peak_78
NC_002516.2	3213903	3214115	213	3214013	181.05	33.16767	2.82570	29.91424	vfrvsvmacs2_peak_79
NC_002516.2	3235509	3235758	250	3235636	233.16	60.03152	3.63448	55.72178	vfrvsvmacs2_peak_80
NC_002516.2	3317590	3317782	193	3317706	170.46	28.25104	2.66120	25.14648	vfrvsvmacs2_peak_81
NC_002516.2	3320013	3320272	260	3320127	212.85	33.46830	2.60792	30.20354	vfrvsvmacs2_peak_82
NC_002516.2	3340622	3340963	342	3340890	159.86	21.79582	2.39016	18.92435	vfrvsvmacs2_peak_83
NC_002516.2	3347503	3347749	247	3347631	197.84	31.40231	2.61626	28.20214	vfrvsvmacs2_peak_84
NC_002516.2	3359626	3359883	258	3359765	197.84	36.35560	2.85888	32.98831	vfrvsvmacs2_peak_85
NC_002516.2	3397779	3397993	215	3397894	158.97	20.39355	2.31848	17.57572	vfrvsvmacs2_peak_86
NC_002516.2	3410565	3410839	275	3410691	252.59	68.45946	3.81057	63.48212	vfrvsvmacs2_peak_87
NC_002516.2	3434709	3434972	264	3434804	220.80	28.82295	2.35956	25.69734	vfrvsvmacs2_peak_88
NC_002516.2	3442490	3442784	295	3442618	240.23	46.04781	2.94181	42.42644	vfrvsvmacs2_peak_89
NC_002516.2	3450712	3450922	211	3450814	124.53	10.29605	1.88201	7.87759	vfrvsvmacs2_peak_90
NC_002516.2	3470377	3470743	367	3470567	217.27	51.04221	3.38108	47.20390	vfrvsvmacs2_peak_91
NC_002516.2	3512831	3513008	178	3512917	145.73	15.29139	2.09610	12.66218	vfrvsvmacs2_peak_92
NC_002516.2	3552134	3552398	265	3552253	162.51	21.66051	2.35602	18.79213	vfrvsvmacs2_peak_93
NC_002516.2	3560456	3560655	200	3560571	156.33	13.72391	1.94229	11.15628	vfrvsvmacs2_peak_94
NC_002516.2	3562700	3562928	229	3562837	216.38	35.91246	2.68373	32.55602	vfrvsvmacs2_peak_95
NC_002516.2	3563645	3563845	201	3563754	163.39	24.56700	2.51093	21.59190	vfrvsvmacs2_peak_96
NC_002516.2	3608478	3608796	319	3608663	192.54	30.71375	2.61535	27.53271	vfrvsvmacs2_peak_97
NC_002516.2	3631370	3631550	181	3631471	175.76	29.09133	2.66922	25.95862	vfrvsvmacs2_peak_98
NC_002516.2	3671018	3671298	281	3671132	261.43	32.92394	2.32235	29.67973	vfrvsvmacs2_peak_99
NC_002516.2	3717476	3717727	252	3717605	162.51	24.86513	2.53783	21.87942	vfrvsvmacs2_peak_100
NC_002516.2	3722765	3723126	362	3722858	136.90	15.06880	2.14029	12.44613	vfrvsvmacs2_peak_101
NC_002516.2	3747120	3747285	166	3747191	175.76	14.30909	1.90060	11.71909	vfrvsvmacs2_peak_102
NC_002516.2	3752014	3752168	155	3752108	207.55	20.06215	2.04461	17.25565	vfrvsvmacs2_peak_103
NC_002516.2	3754669	3755121	453	3754985	249.94	66.61143	3.76651	61.88274	vfrvsvmacs2_peak_104
NC_002516.2	3764251	3764401	151	3764310	153.68	14.67393	2.01532	12.06970	vfrvsvmacs2_peak_105
NC_002516.2	3782302	3782453	152	3782365	158.97	12.28101	1.86017	9.77231	vfrvsvmacs2_peak_106
NC_002516.2	3799584	3799764	181	3799648	159.86	15.99525	2.06228	13.33932	vfrvsvmacs2_peak_107
NC_002516.2	4002024	4002227	204	4002132	168.69	21.61382	2.31595	18.75007	vfrvsvmacs2_peak_108
NC_002516.2	4010445	4010612	168	4010483	125.41	10.89007	1.91681	8.44282	vfrvsvmacs2_peak_109
NC_002516.2	4092360	4092560	201	4092482	201.37	14.21616	1.80686	11.62973	vfrvsvmacs2_peak_110
NC_002516.2	4152106	4152432	327	4152324	159.86	21.92602	2.39765	19.05129	vfrvsvmacs2_peak_111
NC_002516.2	4187648	4187807	160	4187747	158.09	17.13160	2.12122	14.43409	vfrvsvmacs2_peak_112
NC_002516.2	4215167	4215356	190	4215266	185.47	23.61588	2.31210	20.67573	vfrvsvmacs2_peak_113
NC_002516.2	4280817	4281010	194	4280900	149.26	17.34050	2.18878	14.63360	vfrvsvmacs2_peak_114
NC_002516.2	4322279	4322535	257	4322416	239.35	52.95901	3.24791	49.00785	vfrvsvmacs2_peak_115
NC_002516.2	4435859	4436115	257	4435984	237.58	34.85373	2.51136	31.53786	vfrvsvmacs2_peak_116
NC_002516.2	4446224	4446421	198	4446331	169.57	16.84305	2.05510	14.15328	vfrvsvmacs2_peak_117
NC_002516.2	4512030	4512213	184	4512113	185.47	24.59679	2.36039	21.62103	vfrvsvmacs2_peak_118
NC_002516.2	4531445	4531683	239	4531570	218.15	40.39451	2.86656	36.90470	vfrvsvmacs2_peak_119
NC_002516.2	4553114	4553307	194	4553233	142.19	12.11355	1.90926	9.61309	vfrvsvmacs2_peak_120
NC_002516.2	4572021	4572272	252	4572166	128.06	11.20885	1.91773	8.74640	vfrvsvmacs2_peak_121
NC_002516.2	4585108	4585406	299	4585349	125.41	8.60100	1.75574	6.27819	vfrvsvmacs2_peak_122
NC_002516.2	4673523	4673685	163	4673567	139.54	8.75322	1.71396	6.41896	vfrvsvmacs2_peak_123
NC_002516.2	4681157	4681337	181	4681241	176.64	30.89635	2.75716	27.71002	vfrvsvmacs2_peak_124
NC_002516.2	4709651	4709843	193	4709703	167.81	15.75268	2.00960	13.10372	vfrvsvmacs2_peak_125
NC_002516.2	4762482	4762649	168	4762565	211.97	19.94161	2.02825	17.14001	vfrvsvmacs2_peak_126
NC_002516.2	4763581	4763834	254	4763708	224.33	37.90905	2.71483	34.49002	vfrvsvmacs2_peak_127
NC_002516.2	4937948	4938133	186	4938076	153.68	13.79737	1.96464	11.22590	vfrvsvmacs2_peak_128
NC_002516.2	4939471	4939621	151	4939478	166.92	5.91321	1.47301	3.80923	vfrvsvmacs2_peak_129
NC_002516.2	5192503	5192707	205	5192598	164.27	25.69613	2.56524	22.67755	vfrvsvmacs2_peak_130
NC_002516.2	5246090	5246285	196	5246199	228.75	31.27815	2.41839	28.08235	vfrvsvmacs2_peak_131
NC_002516.2	5276164	5276349	186	5276225	178.41	28.69230	2.61791	25.57120	vfrvsvmacs2_peak_132
NC_002516.2	5346183	5346420	238	5346296	183.70	25.05604	2.39876	22.06357	vfrvsvmacs2_peak_133
NC_002516.2	5388566	5388883	318	5388668	151.91	15.79833	2.09465	13.14724	vfrvsvmacs2_peak_134
NC_002516.2	5472051	5472305	255	5472140	197.84	32.86481	2.68696	29.62290	vfrvsvmacs2_peak_135
NC_002516.2	5507631	5507817	187	5507742	130.71	5.17813	1.49673	3.15398	vfrvsvmacs2_peak_136
NC_002516.2	5560704	5560892	189	5560804	198.72	14.88821	1.84925	12.27506	vfrvsvmacs2_peak_137
NC_002516.2	5565167	5565468	302	5565344	249.06	54.66021	3.22659	50.59492	vfrvsvmacs2_peak_138
NC_002516.2	5577497	5577669	173	5577572	151.91	13.42947	1.95561	10.87249	vfrvsvmacs2_peak_139
NC_002516.2	5600878	5601034	157	5600964	160.74	18.66319	2.20431	15.90608	vfrvsvmacs2_peak_140
NC_002516.2	5601595	5601784	190	5601696	178.41	17.37262	2.03869	14.66476	vfrvsvmacs2_peak_141
NC_002516.2	5612552	5612737	186	5612635	161.62	14.34158	1.95815	11.75007	vfrvsvmacs2_peak_142
NC_002516.2	5613635	5613851	217	5613771	197.84	13.52737	1.79131	10.96678	vfrvsvmacs2_peak_143
NC_002516.2	5615061	5615222	162	5615119	143.96	13.73115	2.01474	11.16326	vfrvsvmacs2_peak_144
NC_002516.2	5690523	5690696	174	5690617	155.44	15.65605	2.05845	13.01265	vfrvsvmacs2_peak_145
NC_002516.2	5768290	5768445	156	5768351	152.79	10.67171	1.78829	8.23320	vfrvsvmacs2_peak_146
NC_002516.2	5770737	5770951	215	5770881	249.94	18.98218	1.87272	16.21505	vfrvsvmacs2_peak_147
NC_002516.2	5779806	5779967	162	5779878	165.16	17.99635	2.13159	15.26325	vfrvsvmacs2_peak_148
NC_002516.2	5788409	5788683	275	5788550	218.15	38.80864	2.79527	35.36452	vfrvsvmacs2_peak_149
NC_002516.2	5821567	5821718	152	5821656	177.52	12.94024	1.82165	10.40434	vfrvsvmacs2_peak_150
NC_002516.2	5940542	5940714	173	5940608	200.48	28.76505	2.46706	25.64082	vfrvsvmacs2_peak_151
NC_002516.2	6002258	6002434	177	6002350	208.43	31.58975	2.54476	28.38571	vfrvsvmacs2_peak_152
NC_002516.2	6014939	6015092	154	6014986	169.57	11.89200	1.79456	9.39968	vfrvsvmacs2_peak_153
NC_002516.2	6021920	6022080	161	6021996	204.90	30.91712	2.54592	27.73069	vfrvsvmacs2_peak_154
NC_002516.2	6028783	6028933	151	6028862	175.76	15.98914	1.98602	13.33336	vfrvsvmacs2_peak_155
NC_002516.2	6038649	6038803	155	6038730	159.86	18.53785	2.20489	15.78676	vfrvsvmacs2_peak_156
NC_002516.2	6057434	6057608	175	6057527	189.00	12.51924	1.75929	9.99882	vfrvsvmacs2_peak_157
NC_002516.2	6135068	6135236	169	6135139	143.96	10.09873	1.78964	7.68806	vfrvsvmacs2_peak_158
NC_002516.2	6151437	6151652	216	6151550	228.75	38.15208	2.70291	34.72701	vfrvsvmacs2_peak_159
